PrimaryState,SettlementCity,County1,County2,State2,County3,State3,County4,State4,County5,State5,OtherDistinction,YearFounded,ChurchDistricts,city1,city2,city3,city1Lon,city1Lat,city2Lon,city2Lat,city3Lon,city3Lat
KENTUCKY,Leitchfield,Grayson,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Leitchfield,NA,NA,-86.2938637,37.4800544,NA,NA,NA,NA
KENTUCKY,Hawesville,Hancock,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Hawesville,NA,NA,-86.754988,37.9000554,NA,NA,NA,NA
KENTUCKY,Gravel Switch,Boyle,Marion,KENTUCKY,NA,NA,NA,NA,NA,NA,NA,2011,1,Gravel Switch,NA,NA,-85.052181,37.5786819,NA,NA,NA,NA
KENTUCKY,Liberty,Casey,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,Liberty,NA,NA,-84.9393979,37.3184064,NA,NA,NA,NA
KENTUCKY,Pleasureville,Henry,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,Pleasureville,NA,NA,-85.1152318,38.3459022,NA,NA,NA,NA
MAINE,Smyrna Mills/Oakfield,Aroostook,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1,Smyrna Mills,Oakfield,NA,-68.164192,46.1294957,-68.1589207,46.1007097,NA,NA
MAINE,Fort Fairfield,Aroostook,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,Fort Fairfield,NA,NA,-67.8339004,46.7722294,NA,NA,NA,NA
MAINE,Unity,Waldo,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,Unity,NA,NA,-69.3345032,44.6111643,NA,NA,NA,NA
MAINE,Sherman,Aroostook,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Sherman,NA,NA,-68.4178063,45.8711632,NA,NA,NA,NA
MAINE,Hodgdon,Aroostook,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1,Hodgdon,NA,NA,-67.8497605,46.0612772,NA,NA,NA,NA
MARYLAND,Oakland,Garrett,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850,1,Oakland,NA,NA,-77.6415503,39.19824285,NA,NA,NA,NA
MARYLAND,Mechanicsville,St Marys,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940,9,Mechanicsville,NA,NA,-76.7439767,38.4421648,NA,NA,NA,NA
MARYLAND,Cecilton,Cecil,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1,Cecilton,NA,NA,-75.867439,39.4040015,NA,NA,NA,NA
MICHIGAN,Centreville,St. Joseph County,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910,11,Centreville,NA,NA,-85.5283225,41.9233827,NA,NA,NA,NA
MICHIGAN,Camden,Hillsdale,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,4,Camden,NA,NA,-84.7577335,41.7522716,NA,NA,NA,NA
MICHIGAN,California Township,Branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,6,California Township,NA,NA,-84.8776392,41.7858529,NA,NA,NA,NA
MICHIGAN,Mio,Oscoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,3,Mio,NA,NA,-84.1297276,44.6522362,NA,NA,NA,NA
MICHIGAN,Bronson,Branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,1,Bronson,NA,NA,-85.1946963,41.8722716,NA,NA,NA,NA
MICHIGAN,Greenville/Six Lakes,Montcalm,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,4,Greenville,Six Lakes,NA,-85.2527987,43.1775314,-85.1500254,43.4250308,NA,NA
MICHIGAN,Quincy/Coldwater,Branch,Hillsdale,MICHIGAN,NA,NA,NA,NA,NA,NA,NA,1977,4,Quincy,Coldwater,NA,-84.8838525,41.9442145,-85.0005215,41.9403263,NA,NA
MICHIGAN,Charlotte/Vermontville,Eaton,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,3,Charlotte,Vermontville,NA,-84.8358211,42.5636478,-85.0241621,42.6289247,NA,NA
MICHIGAN,Gladwin/Beaverton,Clare,Gladwin,MICHIGAN,NA,NA,NA,NA,NA,NA,Swartzentruber,1979,3,Gladwin,Beaverton,NA,-84.4864007,43.9808549,-84.4847316,43.8822464,NA,NA
MICHIGAN,Reading/Hillsdale,Branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,2,Reading,Hillsdale,NA,-84.7480134,41.8394928,-84.6305101,41.9200472,NA,NA
MICHIGAN,Gladwin,Gladwin,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,3,Gladwin,NA,NA,-84.4864007,43.9808549,NA,NA,NA,NA
MICHIGAN,Clare,Clare,Isabella,MICHIGAN,NA,NA,NA,NA,NA,NA,NA,1981,4,Clare,NA,NA,-84.7686281,43.8194703,NA,NA,NA,NA
MICHIGAN,Rosebush,Isabella,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,1,Rosebush,NA,NA,-84.7677927,43.6991954,NA,NA,NA,NA
MICHIGAN,Stanwood/Morley,Mecosta,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,6,Stanwood,Morley,NA,-85.4492081,43.5786366,-85.4439283,43.4908606,NA,NA
MICHIGAN,Blanchard,Isabella,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,2,Blanchard,NA,NA,-85.0800256,43.5197525,NA,NA,NA,NA
MICHIGAN,Marlette/Brown City,Sanilac,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,3,Marlette,Brown City,NA,-83.08022,43.3269685,-82.9896604,43.2122486,NA,NA
MICHIGAN,Homer,Calhoun,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,2,Homer,NA,NA,-84.80886,42.145877,NA,NA,NA,NA
MICHIGAN,Evart/Sears,Osceola,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,1,Evart,Sears,NA,-85.2580971,43.9005752,-85.1851661,43.8982225,NA,NA
