TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000200,2000,10,0,0,0,4,0,0,18,0,3,0,5,0,0,0,2,0,0,11,21,0
36055000200,2000,11,0,0,0,4,1,0,16,0,0,0,2,0,0,1,2,0,0,9,17,1
36055000200,2000,12,1,0,0,0,1,0,15,0,1,0,5,0,0,0,2,1,0,8,16,1
36055000200,2001,1,0,0,1,1,0,0,14,0,1,0,0,0,0,1,0,0,0,1,17,1
36055000200,2001,2,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,3,2,0
36055000200,2001,3,0,0,0,2,0,0,5,0,0,0,4,0,0,1,0,1,0,6,6,1
36055000200,2001,4,0,0,0,1,0,0,11,0,0,0,3,0,0,0,0,0,0,4,11,0
36055000200,2001,5,0,0,2,4,1,0,13,0,0,0,1,0,0,0,2,1,0,8,15,0
36055000200,2001,6,0,0,0,6,1,0,9,0,2,0,5,0,1,0,3,0,0,15,11,1
36055000200,2001,7,0,0,0,4,0,0,16,0,0,0,6,0,0,0,2,0,0,12,16,0
36055000200,2001,8,0,0,1,6,2,0,8,0,1,0,3,0,0,0,5,0,0,16,10,0
36055000200,2001,9,0,0,0,4,1,0,15,0,0,0,2,0,0,0,2,0,0,9,15,0
36055000200,2001,10,0,0,0,3,0,0,8,0,1,0,2,0,0,1,0,0,0,5,10,1
36055000200,2001,11,0,0,0,3,0,0,12,0,0,0,8,0,0,0,0,0,0,11,12,0
36055000200,2001,12,0,0,0,6,2,0,5,0,0,0,4,0,0,0,1,0,0,13,5,0
36055000700,1991,1,1,0,4,1,0,0,7,0,2,0,2,0,0,0,2,0,0,5,13,1
36055000700,1991,2,0,0,1,4,7,0,3,0,1,0,4,0,0,1,4,0,0,19,6,1
36055000700,1991,3,0,0,2,4,0,0,1,0,1,0,6,0,0,0,2,0,0,12,4,0
36055000700,1991,4,1,0,3,6,1,0,2,0,1,0,8,0,0,0,2,0,0,17,6,1
36055000700,1991,5,0,0,4,4,1,0,2,1,1,0,8,0,1,0,3,0,0,16,7,1
36055000700,1991,6,0,0,2,3,2,0,5,0,1,0,5,0,0,0,6,0,0,16,8,0
36055000700,1991,7,0,0,6,1,0,0,4,0,1,0,10,0,0,2,4,0,0,15,13,2
36055000700,1991,8,3,0,9,2,3,0,9,0,3,0,14,0,0,0,2,0,2,23,21,3
36055000700,1991,9,0,0,5,3,6,0,4,0,2,0,4,0,0,1,7,0,0,20,12,1
36055000700,1991,10,0,1,3,10,5,0,12,0,2,0,16,0,2,4,4,0,0,36,21,6
36055000700,1991,11,1,1,3,5,1,0,5,2,0,0,3,0,0,3,5,0,2,17,11,4
36055000700,1991,12,1,0,2,7,2,0,2,0,1,0,2,0,0,1,3,0,1,15,6,2
36055000700,1992,1,2,0,2,4,5,0,4,0,1,0,5,0,0,2,2,1,1,17,9,4
36055000700,1992,2,1,0,2,3,3,0,4,0,7,0,9,0,0,1,5,1,0,20,14,2
36055000700,1992,3,0,1,4,5,2,0,3,0,5,0,8,0,0,0,2,0,2,20,12,0
36055000700,1992,4,0,4,4,10,1,0,9,0,2,0,4,0,1,1,1,0,1,21,16,2
36055000700,1992,5,0,0,6,7,2,0,6,1,0,0,11,0,0,0,6,1,1,27,12,0
36055000700,1992,6,2,0,2,3,2,0,8,0,1,0,5,0,0,1,5,0,1,16,12,3
36055000700,1992,7,2,1,4,4,2,0,0,0,4,0,6,0,0,0,7,0,0,20,8,2
36055000700,1992,8,0,0,1,4,2,0,0,0,1,0,7,0,0,1,1,0,0,14,3,1
36055000700,1992,9,0,1,6,1,4,0,6,1,3,0,6,0,0,1,5,2,1,18,16,1
36055000700,1992,10,0,1,4,6,10,0,3,1,2,0,5,0,0,0,4,0,0,26,9,0
36055000700,1992,11,2,1,4,3,1,0,2,0,0,0,3,0,0,1,2,0,0,10,7,3
36055000700,1992,12,3,0,3,2,8,0,2,0,0,0,10,0,0,0,1,0,1,22,5,3
36055000700,1993,1,3,0,4,1,6,0,5,0,3,0,4,0,0,1,2,0,2,15,13,4
36055000700,1993,2,0,0,2,0,5,0,5,0,2,0,4,0,0,2,3,0,1,13,11,2
36055000700,1993,3,0,0,2,4,0,0,3,0,0,0,5,0,1,4,1,0,0,10,9,5
36055000700,1993,4,1,0,4,0,4,0,6,0,1,0,7,0,1,0,5,0,0,16,11,2
36055000700,1993,5,1,0,3,6,4,0,4,0,1,0,5,0,0,0,2,0,3,20,8,1
36055000700,1993,6,0,1,1,2,16,0,5,0,0,0,7,0,1,1,2,0,1,29,7,2
36055000700,1993,7,3,2,4,3,8,0,5,0,3,0,8,0,0,1,3,0,0,24,13,4
