BEAT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSPRIS,ASSOFFC,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRNKDRIV,EMBEZZLE,FAMVIOL,FORGERY,FRAUD,GAMBLING,LARCENY,LIQVIOL,MVTHEFT,MURDMANS,NEGMANSL,PUBDRUNK,RAPE,ROBBERY,RUNAWAY,SIMPASS,STOLPROP,TRESPASS,VAGRANCY,VANDAL,WEAPONS,PROSTITN,SEXOFF,VCI,P1V,P1P
11,2000,12,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,9,0,2,0,1,0,0,1,14,2,10
11,2001,1,0,1,0,0,0,0,3,4,3,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,9
11,2001,2,3,2,0,0,0,0,4,10,2,0,0,0,0,0,2,0,13,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,23
11,2001,3,2,1,1,0,0,0,3,5,2,0,0,0,0,0,1,0,7,0,4,0,0,0,0,1,0,4,0,1,0,2,1,0,1,14,2,15
11,2001,4,1,0,0,1,0,0,6,7,2,0,0,0,0,0,2,0,6,0,3,0,0,0,0,0,0,7,0,0,0,0,2,0,0,18,0,15
11,2001,5,1,1,2,0,0,0,1,8,6,0,0,0,1,1,0,0,6,0,6,0,0,0,0,1,0,15,0,0,0,0,0,0,0,31,3,14
11,2001,6,5,4,0,0,0,0,2,8,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,2,0,11,0,0,0,1,0,0,0,31,2,16
11,2001,7,1,0,0,0,0,1,2,10,4,1,1,0,2,0,0,0,8,0,8,0,0,0,1,0,0,10,0,1,0,0,0,0,2,25,1,18
11,2001,8,0,2,0,0,0,0,1,9,6,0,0,0,1,1,0,0,3,0,1,0,0,0,0,2,0,10,0,0,0,0,1,0,0,27,2,7
11,2001,9,0,3,0,0,0,0,6,3,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,14
11,2001,10,0,8,0,0,0,0,4,10,3,1,1,0,0,1,1,0,5,0,8,0,0,0,0,1,0,9,1,0,1,0,0,0,0,30,1,18
11,2001,11,1,1,0,1,0,0,2,4,1,2,0,0,1,1,1,0,4,0,2,0,0,0,0,0,0,5,0,1,1,0,0,0,0,13,0,8
11,2001,12,1,1,0,1,0,0,3,7,1,0,0,0,3,0,0,0,4,0,2,0,0,0,1,0,0,8,0,0,0,0,0,0,1,19,1,9
12,1990,1,2,0,0,1,0,0,14,24,7,1,0,0,1,0,1,0,13,0,22,0,0,0,0,1,0,9,9,0,0,0,0,0,1,43,1,50
12,1990,2,2,0,1,2,1,0,15,24,15,0,0,0,1,0,1,0,25,0,24,0,0,0,0,1,0,21,2,0,0,0,1,0,0,64,2,65
12,1990,3,0,1,1,1,0,0,12,30,6,0,0,0,0,1,0,0,26,0,26,0,0,0,0,0,0,14,1,2,0,0,0,0,0,52,1,64
12,1990,4,1,2,2,1,0,0,18,35,6,0,0,0,1,0,0,0,19,0,28,0,0,1,0,3,0,28,5,1,1,0,0,0,1,73,5,68
12,1990,5,2,3,0,0,0,0,12,31,8,2,0,0,0,0,0,0,19,5,30,0,0,0,0,3,0,13,1,1,0,0,0,0,1,57,3,64
12,1990,6,2,4,0,0,0,0,5,19,14,0,0,0,0,0,0,0,15,1,16,0,0,4,0,1,0,21,1,0,0,0,0,0,0,60,1,37
12,1990,7,7,2,0,1,0,0,12,23,10,0,0,0,1,0,1,0,14,0,29,0,0,2,0,1,0,31,1,1,0,0,0,0,0,74,1,56
12,1990,8,3,1,2,0,0,0,10,31,14,2,0,0,0,0,0,0,21,0,25,0,0,0,0,0,0,24,1,1,0,0,1,0,0,73,2,56
12,1990,9,3,0,1,3,0,0,12,23,8,0,1,0,0,0,0,0,12,0,36,0,0,0,0,3,0,24,1,0,0,1,0,0,2,61,4,63
12,1990,10,4,3,0,0,0,0,22,45,6,0,0,0,1,0,0,0,19,0,32,0,0,1,1,1,0,19,0,1,0,0,0,0,2,77,2,74
12,1990,11,1,7,1,3,0,0,12,22,9,0,0,2,2,0,1,0,14,0,25,0,0,0,1,2,0,22,0,0,0,0,0,0,1,64,4,53
12,1990,12,2,1,2,0,0,0,18,17,5,0,0,0,0,0,0,0,17,0,25,0,0,1,1,1,0,15,1,1,0,0,0,0,2,40,4,61
12,1991,1,5,0,0,1,0,0,22,21,6,0,1,0,3,0,0,0,12,0,11,0,0,3,2,2,0,20,0,1,0,0,1,0,1,53,4,47
12,1991,2,2,2,0,0,0,0,5,18,6,0,1,0,1,0,1,0,11,0,10,0,0,1,0,1,0,10,0,0,0,0,0,0,0,38,1,27
12,1991,3,1,1,0,1,0,0,12,16,8,0,0,0,1,0,1,0,12,0,20,0,0,1,1,0,0,13,0,2,1,0,0,0,2,40,1,44
12,1991,4,2,2,0,1,0,0,9,23,8,0,0,0,1,1,3,0,20,0,34,0,0,0,1,2,0,23,0,0,0,1,0,0,0,59,3,65
12,1991,5,2,5,3,0,0,0,28,13,2,0,0,0,0,0,0,0,25,0,30,0,0,0,2,1,0,20,0,0,0,0,0,0,2,42,6,84
12,1991,6,3,3,0,1,0,0,9,25,6,0,0,0,1,0,4,0,25,0,25,0,0,0,1,1,1,14,0,0,0,0,0,0,1,52,2,60
12,1991,7,4,2,0,2,0,0,12,16,14,0,0,0,0,0,0,0,12,0,27,0,0,0,0,5,0,17,1,2,1,0,0,0,0,55,5,56
