BEAT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MVTHEFT,MURDMANS,DISCONDUCT,PROST,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1V,P1P
231,1992,11,3,0,19,19,0,0,31,4,0,14,10,0,3,10,4,3,46,6,57
231,1992,12,1,0,16,11,0,0,22,5,0,9,9,2,4,4,0,1,25,7,47
231,1993,1,4,0,5,23,2,0,34,4,0,22,1,2,2,6,3,2,55,8,45
231,1993,2,0,0,9,16,1,0,15,8,1,10,7,2,1,10,1,4,41,4,33
231,1993,3,1,0,6,7,1,0,11,2,0,8,2,0,2,10,2,4,30,3,21
231,1993,4,2,0,11,14,3,0,21,5,0,25,6,1,3,10,1,1,53,6,40
231,1993,5,1,3,4,14,2,0,18,5,0,21,6,1,0,8,3,2,50,2,27
231,1993,6,2,2,12,10,1,0,22,8,0,21,22,1,6,11,1,8,53,9,48
231,1993,7,1,0,7,19,7,0,20,8,0,17,22,1,4,12,2,5,60,6,39
231,1993,8,8,2,16,17,7,0,29,16,0,13,10,0,5,13,1,3,55,13,66
231,1993,9,1,1,8,18,4,0,22,3,0,22,0,0,2,11,2,3,59,3,35
231,1993,10,1,1,12,12,6,0,22,7,0,21,23,1,5,11,3,2,53,7,46
231,1993,11,0,0,29,9,3,0,17,4,0,13,19,0,1,5,2,6,36,1,51
231,1993,12,0,1,12,22,1,0,10,12,0,14,4,0,6,6,2,3,47,6,40
231,1994,1,2,0,7,13,3,0,14,8,0,8,17,1,4,9,2,2,35,7,33
231,1994,2,2,0,10,2,3,0,10,4,0,17,26,0,2,5,0,3,30,4,26
231,1994,3,1,0,11,8,6,0,21,5,0,16,10,1,4,7,0,1,38,6,41
231,1994,4,1,2,12,14,8,0,11,3,0,17,9,1,1,8,1,0,49,3,27
231,1994,5,0,0,11,22,5,0,21,7,0,10,9,0,0,4,1,0,41,0,39
231,1994,6,4,3,19,22,1,0,16,8,1,27,4,1,2,12,1,3,68,8,45
231,1994,7,4,1,19,16,6,0,23,9,0,29,11,0,6,7,2,1,60,10,57
231,1994,8,5,0,12,23,14,0,20,14,0,19,30,2,1,11,4,3,70,8,47
231,1994,9,1,1,8,11,16,0,19,11,0,16,71,0,2,22,0,3,69,3,40
231,1994,10,5,2,17,15,5,0,16,7,0,24,29,0,5,17,1,3,66,10,45
231,1994,11,2,0,18,15,4,0,17,4,1,18,21,0,9,6,0,3,46,12,48
231,1994,12,1,1,11,6,3,0,29,6,0,20,0,0,3,12,1,0,42,4,49
231,1995,1,1,0,15,16,8,0,14,5,0,12,8,1,7,9,2,4,49,9,41
231,1995,2,1,0,8,8,0,0,12,5,0,12,3,0,6,6,0,3,29,7,31
231,1995,3,2,0,9,11,11,0,10,5,0,19,5,0,2,8,2,6,55,4,26
231,1995,4,0,1,7,9,7,0,21,5,3,21,9,1,4,8,3,1,47,8,37
231,1995,5,2,1,9,21,2,0,22,5,0,27,4,1,6,19,3,2,72,9,42
231,1995,6,1,2,12,19,6,0,30,9,0,18,22,0,3,8,3,3,56,4,54
231,1995,7,0,0,14,18,3,0,25,10,0,27,7,0,4,8,1,3,59,4,53
231,1995,8,4,2,12,18,4,0,18,9,0,32,8,0,4,16,2,4,76,8,43
231,1995,9,5,0,12,28,10,0,30,9,1,25,9,1,2,10,2,6,79,9,53
231,1995,10,1,0,14,19,4,0,27,10,0,13,5,0,4,15,1,2,53,5,55
231,1995,11,1,3,13,23,5,0,35,13,0,19,9,0,7,8,3,1,59,8,68
231,1995,12,1,2,12,8,5,0,25,12,0,24,8,1,1,7,3,3,49,3,50
231,1996,1,3,1,9,9,13,0,17,2,0,19,6,0,5,8,0,1,51,8,33
231,1996,2,1,1,6,15,4,0,21,7,1,16,5,2,4,15,2,3,54,8,38
231,1996,3,4,1,15,5,6,0,11,3,0,15,5,0,2,12,1,2,41,6,31
231,1996,4,0,1,8,12,5,0,22,6,0,17,28,1,2,10,1,3,48,3,38
231,1996,5,1,1,7,13,4,0,15,18,0,15,10,1,4,11,1,2,46,6,44
231,1996,6,5,1,5,11,9,0,30,8,0,23,2,1,1,7,3,7,58,7,44
231,1996,7,4,0,7,13,6,0,25,3,0,24,7,1,0,18,0,2,63,5,35
231,1996,8,2,0,4,13,6,0,17,15,0,24,11,1,4,13,2,2,58,7,40
231,1996,9,0,1,2,12,8,0,24,9,0,22,6,0,1,7,4,2,52,1,36
231,1996,10,6,2,8,13,9,0,18,10,0,19,6,0,2,6,0,3,52,8,38
231,1996,11,5,1,5,12,5,0,26,10,0,14,6,1,3,10,0,1,43,9,44
231,1996,12,2,1,7,11,6,0,13,5,0,11,3,0,5,4,1,3,36,7,30
231,1997,1,2,2,4,7,7,0,9,5,0,22,5,0,1,8,0,2,48,3,19
231,1997,2,1,0,2,6,5,0,9,4,1,12,2,0,4,7,1,4,34,6,19
231,1997,3,1,0,5,18,12,0,11,10,0,12,8,0,2,3,0,2,47,3,28
231,1997,4,1,0,5,8,3,0,10,6,1,11,5,0,3,8,1,2,32,5,24
231,1997,5,4,0,7,15,13,0,14,10,1,22,11,0,3,9,0,6,65,8,34
231,1997,6,2,0,10,12,12,0,17,13,0,26,10,0,3,10,3,3,63,5,43
231,1997,7,1,0,6,16,17,0,29,9,0,12,10,1,2,8,1,2,55,4,46
231,1997,8,3,1,16,19,24,0,19,9,1,29,1,0,5,5,4,6,84,9,49
231,1997,9,1,3,6,10,18,0,21,11,0,11,27,0,5,6,1,4,52,6,43
231,1997,10,4,2,12,9,9,0,9,12,1,13,1,1,5,5,0,1,39,11,38
231,1997,11,2,1,7,23,3,0,15,19,1,14,0,0,5,4,1,2,47,8,46
231,1997,12,1,4,2,15,10,0,15,12,0,16,10,1,4,7,0,2,54,6,33
231,1998,1,0,1,17,8,5,0,20,7,0,18,2,1,6,4,1,4,40,7,50
231,1998,2,2,1,22,12,7,0,17,6,0,21,11,0,3,3,1,3,47,5,48
231,1998,3,2,2,13,11,13,0,13,7,0,20,18,0,5,6,3,2,54,7,38
231,1998,4,1,0,7,12,21,0,14,8,0,15,0,0,1,3,1,4,55,2,30
231,1998,5,6,1,4,10,28,0,17,7,0,18,9,0,1,7,2,2,66,7,29
231,1998,6,5,0,8,22,16,0,17,10,0,28,6,1,2,11,0,6,83,8,37
231,1998,7,3,0,11,22,16,0,28,15,0,25,7,0,1,10,1,0,73,4,55
231,1998,8,0,6,12,17,16,0,24,7,0,21,1,0,5,10,2,1,71,5,48
231,1998,9,2,8,8,11,20,0,13,4,0,12,5,0,5,7,1,3,61,7,30
231,1998,10,0,0,6,17,15,0,7,14,0,17,27,0,3,6,1,6,61,3,30
231,1998,11,0,1,6,8,10,0,16,10,0,12,0,0,5,8,0,1,40,5,37
231,1998,12,0,0,7,11,10,0,14,9,0,9,5,0,6,5,1,2,37,6,36
231,1999,1,4,0,0,9,8,0,14,11,0,7,1,0,2,3,3,2,29,6,27
231,1999,2,1,0,7,9,7,0,15,6,0,15,5,0,2,3,2,0,34,3,30
231,1999,3,2,0,4,10,10,0,13,5,1,14,5,1,2,7,1,2,43,6,24
231,1999,4,3,3,4,18,10,0,21,3,1,22,8,0,1,10,1,2,65,5,29
231,1999,5,2,4,8,13,14,0,18,8,0,19,5,2,4,7,0,2,59,8,38
231,1999,6,3,4,7,14,16,0,19,10,0,23,0,0,6,9,0,2,68,9,42
231,1999,7,0,0,8,16,8,0,12,6,0,18,16,1,4,8,1,0,50,5,30
231,1999,8,2,1,9,11,10,0,27,6,0,22,24,0,3,8,1,3,55,5,45
231,1999,9,3,1,9,10,18,0,17,7,2,20,1,0,8,6,5,3,58,13,41
231,1999,10,4,3,6,12,14,0,22,10,0,18,9,0,3,1,2,6,54,7,41
231,1999,11,2,1,4,9,8,0,15,9,0,15,0,0,5,3,2,5,41,7,33
231,1999,12,1,0,10,14,7,0,23,11,1,15,3,0,5,6,0,4,46,7,49
231,2000,1,0,1,6,10,9,0,21,8,0,17,1,0,3,4,0,4,45,3,38
231,2000,2,1,1,4,9,10,0,16,4,0,11,1,0,2,7,0,1,39,3,26
231,2000,3,4,1,6,10,12,0,16,5,0,13,0,0,2,2,1,2,40,6,29
231,2000,4,1,0,4,8,16,0,16,8,1,10,4,0,1,6,2,1,41,3,29
231,2000,5,3,0,9,16,20,0,18,8,0,12,0,0,3,7,0,0,55,6,38
231,2000,6,1,1,9,19,24,0,24,12,0,19,6,2,3,8,2,4,75,6,48
231,2000,7,3,4,4,27,16,0,30,10,0,16,1,0,5,6,2,2,71,8,49
231,2000,8,1,3,3,18,19,0,23,5,1,12,0,0,4,4,3,4,60,6,35
231,2000,9,2,0,11,13,17,0,15,10,0,14,3,1,4,6,1,1,51,7,40
231,2000,10,7,3,5,10,8,0,11,23,0,12,1,0,3,3,0,5,41,10,42
231,2000,11,1,1,3,12,19,0,21,11,0,11,0,0,3,7,0,2,52,4,38
231,2000,12,2,0,6,2,5,0,13,8,0,17,4,1,3,2,0,2,28,6,30
231,2001,1,4,4,3,7,11,0,15,2,0,18,1,0,3,6,1,3,49,7,23
231,2001,2,0,0,4,5,8,0,5,2,0,12,0,0,0,2,1,3,30,0,11
231,2001,3,2,0,12,13,11,0,17,2,0,17,0,1,1,8,1,3,52,4,32
231,2001,4,1,0,3,18,8,0,16,4,0,19,0,0,1,5,0,2,52,2,24
231,2001,5,5,1,7,21,11,0,18,4,0,20,2,1,1,5,1,3,61,7,30
231,2001,6,1,1,3,16,5,0,20,6,0,23,1,0,3,9,1,1,55,4,32
231,2001,7,2,0,9,12,7,0,16,3,0,17,1,0,2,7,1,6,49,4,30
231,2001,8,2,1,9,15,22,0,15,1,1,25,17,1,2,10,1,2,75,6,27
231,2001,9,4,1,7,10,17,0,16,1,0,18,2,0,2,7,2,4,57,6,26
231,2001,10,4,2,6,19,12,0,20,12,0,15,7,1,3,5,0,5,58,8,41
231,2001,11,0,1,10,11,9,0,33,5,0,13,0,1,3,2,0,1,37,4,51
231,2001,12,3,0,5,8,9,0,23,4,0,11,1,0,2,4,1,1,33,5,34
232,1991,1,2,0,13,10,5,0,51,7,0,23,10,0,2,7,35,4,49,4,73
232,1991,2,0,1,14,15,2,0,45,7,1,17,8,1,1,5,33,1,41,3,67
232,1991,3,2,1,26,17,1,0,58,6,0,24,2,1,0,17,24,3,63,3,90
232,1991,4,4,0,21,23,5,0,60,8,0,27,8,1,6,13,15,0,68,11,95
232,1991,5,1,0,23,23,11,0,75,6,1,22,6,0,4,17,14,1,74,6,108
232,1991,6,5,1,18,23,8,0,51,2,0,23,19,0,5,10,9,2,67,10,76
232,1991,7,3,2,17,24,4,0,89,6,1,23,33,0,5,17,7,0,70,9,117
232,1991,8,4,2,19,24,9,0,90,3,0,25,10,2,4,12,17,1,73,10,116
232,1991,9,2,1,13,19,9,0,62,6,0,22,9,1,6,13,15,1,65,9,87
232,1991,10,6,1,23,29,9,0,79,6,1,25,17,0,9,10,7,2,76,16,117
232,1991,11,2,1,16,35,2,0,67,3,0,24,4,0,8,9,18,1,72,10,94
232,1991,12,3,0,28,23,3,0,79,5,0,16,5,0,4,14,21,4,60,7,116
232,1992,1,5,1,28,33,7,0,96,8,1,16,7,1,10,10,19,3,70,17,142
232,1992,2,2,2,16,24,2,0,50,5,0,21,1,1,2,11,27,0,60,5,73
232,1992,3,1,0,10,15,5,0,66,5,0,26,3,0,4,20,27,2,68,5,85
232,1992,4,2,0,15,45,2,0,59,3,0,31,3,1,3,18,18,0,96,6,80
232,1992,5,2,0,19,49,5,0,52,9,0,23,4,1,9,16,7,1,94,12,89
232,1992,6,2,2,21,46,4,0,63,8,0,35,1,0,7,18,10,0,105,9,99
232,1992,7,6,1,20,38,6,0,68,11,0,31,5,0,11,12,7,2,90,17,110
232,1992,8,2,0,28,36,4,0,79,2,0,27,0,2,8,13,14,1,81,12,117
232,1992,9,4,1,28,28,8,0,80,12,0,33,3,1,9,18,11,2,90,14,129
232,1992,10,8,0,12,19,3,0,68,14,0,28,0,0,7,16,10,9,75,15,101
232,1992,11,2,1,29,23,17,0,66,7,0,9,5,0,4,9,15,2,61,6,106
232,1992,12,1,4,27,22,14,0,69,2,0,28,0,0,5,19,21,4,91,6,103
232,1993,1,2,1,18,17,4,0,50,10,0,29,0,0,8,9,11,3,63,10,86
232,1993,2,2,2,27,23,5,0,46,6,0,18,1,1,8,14,31,4,66,11,87
232,1993,3,2,2,11,14,6,0,41,8,1,26,4,2,4,9,17,3,60,9,64
232,1993,4,7,2,16,16,6,0,59,6,0,19,1,0,11,15,14,5,63,18,92
232,1993,5,2,1,17,21,11,0,78,8,0,19,4,0,6,14,16,6,72,8,109
232,1993,6,2,3,23,16,10,0,56,6,0,23,2,2,3,16,5,5,73,7,88
232,1993,7,7,2,29,24,8,0,78,6,0,28,2,3,7,10,9,6,78,17,120
232,1993,8,1,1,34,23,15,0,63,15,0,26,0,1,8,14,3,5,84,10,120
232,1993,9,2,1,28,25,13,0,50,3,0,19,2,0,6,7,11,2,67,8,87
232,1993,10,4,2,32,28,15,0,75,6,0,26,2,0,7,13,8,8,92,11,120
232,1993,11,3,2,20,22,9,0,70,1,0,18,2,0,7,10,29,0,61,10,98
