TRACT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
101,1997,12,0,1,0,0,0,0,1,5,1,0,0,0,0,0,1,0,18,0,4,0,0,0,0,0,2,0,0,7,2,0,0,0,0,14,25,2
101,1998,1,0,0,1,0,0,0,3,9,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,14,15,1
101,1998,2,1,1,1,0,0,0,0,5,3,0,0,1,1,2,2,0,13,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,14,15,2
101,1998,3,3,1,1,0,0,0,2,13,6,0,1,0,0,0,0,0,14,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,28,18,2
101,1998,4,2,0,0,0,0,0,4,4,4,0,0,0,0,2,2,0,19,0,2,0,0,0,0,0,0,0,0,11,1,0,0,0,0,21,25,0
101,1998,5,4,0,1,0,0,0,5,2,2,0,0,0,0,1,5,0,26,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,17,35,5
101,1998,6,3,0,0,0,0,1,2,8,2,0,0,0,0,3,2,0,31,0,4,0,0,0,1,0,1,0,1,6,0,2,0,0,0,19,38,1
101,1998,7,1,0,1,0,0,0,3,8,4,0,0,0,1,0,1,0,25,0,2,0,0,0,2,1,6,0,2,7,0,0,0,0,0,20,36,8
101,1998,8,4,1,1,0,0,0,4,2,6,0,0,1,0,0,2,0,24,0,1,0,0,0,0,0,2,0,2,12,1,0,0,0,0,25,31,3
101,1998,9,1,0,1,0,0,0,1,3,3,0,0,0,0,1,2,0,17,0,4,0,0,0,0,0,5,0,0,5,1,2,0,0,0,12,27,6
101,1998,10,1,1,1,0,0,0,1,3,1,0,1,1,0,0,2,0,10,0,0,0,0,0,0,1,0,0,2,8,2,1,0,0,0,14,11,2
101,1998,11,0,1,0,0,0,0,1,6,1,0,0,0,1,0,1,0,21,0,1,0,0,0,0,0,3,0,0,8,0,0,0,0,0,16,26,3
101,1998,12,1,0,2,0,0,0,2,8,4,0,0,0,0,1,6,0,13,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,17,17,3
101,1999,1,0,0,0,0,0,0,3,7,1,0,0,0,0,1,6,0,17,0,2,0,0,0,0,0,1,0,1,2,1,2,0,0,0,10,23,1
101,1999,2,0,1,0,0,0,0,4,5,6,0,0,0,0,1,1,0,11,0,3,0,0,0,0,2,2,0,1,5,0,0,0,0,0,17,20,4
101,1999,3,1,0,0,0,0,0,3,4,5,4,2,0,1,0,5,0,14,1,3,0,0,0,1,0,1,0,0,10,0,1,0,0,0,20,21,1
101,1999,4,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,10,0,8,0,0,0,0,0,6,0,3,6,1,0,0,0,0,10,24,6
101,1999,5,4,0,0,0,0,0,1,4,2,2,0,0,0,1,1,1,14,0,8,0,0,0,1,1,1,0,2,6,0,1,0,0,0,16,24,2
101,1999,6,1,0,0,0,0,0,0,4,4,0,0,0,1,1,2,0,20,0,3,0,0,0,0,0,0,0,0,10,1,0,0,0,0,19,23,0
101,1999,7,5,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,23,0,3,0,0,1,0,1,2,0,0,4,0,0,0,0,0,14,29,4
101,1999,8,0,0,1,0,0,0,3,4,6,0,0,0,0,1,1,0,24,0,7,0,0,0,0,0,1,0,2,8,1,0,0,0,0,18,35,2
101,1999,9,0,3,1,0,0,0,1,5,1,0,0,1,2,1,0,0,20,0,4,0,0,1,0,0,0,0,0,9,1,0,0,0,0,18,25,1
101,1999,10,2,4,1,0,0,0,0,2,2,0,0,1,0,2,4,0,19,3,2,0,0,0,1,0,4,0,0,5,1,1,0,0,0,15,25,5
101,1999,11,1,1,2,0,0,0,2,1,1,1,0,1,1,1,2,0,26,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,11,29,3
101,1999,12,1,1,2,0,0,0,2,4,4,0,0,1,0,0,2,0,14,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,13,20,4
101,2000,1,1,0,1,0,0,0,4,5,3,1,1,1,0,1,4,0,23,1,0,0,0,0,0,0,3,0,1,3,0,1,0,0,2,12,30,4
101,2000,2,5,5,1,2,0,0,3,12,8,1,0,0,1,0,2,0,17,4,1,0,0,0,3,0,2,0,1,11,0,0,0,0,0,43,23,3
101,2000,3,0,1,0,0,0,0,1,4,8,1,0,0,0,0,0,0,11,5,0,0,0,0,3,1,3,0,4,14,0,2,0,0,0,27,15,4
101,2000,4,1,1,1,0,0,0,0,9,3,2,0,0,0,0,1,0,17,7,2,0,0,0,2,0,1,0,5,6,0,1,1,0,2,20,20,2
101,2000,5,1,0,2,0,0,0,1,12,3,2,0,0,0,1,2,0,20,6,1,0,0,0,1,1,1,0,1,19,0,4,0,0,1,35,23,4
101,2000,6,2,1,1,0,0,0,1,10,6,0,1,1,0,1,0,0,20,8,1,0,0,0,1,1,1,0,1,9,2,1,0,0,1,28,23,3
101,2000,7,1,1,1,0,0,0,0,1,3,5,1,0,0,3,4,0,9,8,2,0,0,0,0,0,3,0,0,11,2,0,0,0,1,17,14,4
101,2000,8,0,3,0,0,0,0,3,2,5,4,0,0,0,2,3,0,17,4,2,0,0,0,0,1,1,0,3,6,0,0,0,0,0,16,23,2
101,2000,9,2,3,2,0,0,0,1,5,9,0,2,0,0,1,3,0,21,7,3,0,0,0,4,0,2,0,0,9,0,1,0,0,0,28,27,4
101,2000,10,0,2,0,0,0,0,5,4,3,2,1,0,1,0,0,0,15,3,2,0,0,0,1,0,0,0,0,6,0,0,0,0,2,15,22,0
101,2000,11,3,1,0,0,0,0,4,2,2,1,0,0,1,0,0,0,13,1,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,13,19,0
101,2000,12,2,2,0,0,0,0,3,2,2,0,0,0,0,1,1,0,9,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,10,13,0
101,2001,1,2,0,1,0,0,0,1,3,4,4,0,0,0,1,1,0,11,0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,11,14,2
